Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Ethnicity,Occupation,Social Classification,Manner of Death,Place of Death,Place of Detainment,Wikipedia Page
http://www.wikidata.org/entity/Q43391038,Issobel Friece,Auldearn,-3.81595,57.5765,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391062,Janet Smith,Auldearn,-3.81595,57.5765,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391227,(wife of Alexander) Bell,Pencaitland,-2.89098,55.91,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391303,Marion Campbell,Peaston,-2.915091,55.878235,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391356,Margaret Russel,Peaston,-2.915091,55.878235,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391388,Hopkin,West Kilbride,-4.8576,55.6966,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391421,Wife of Thomas Brounhill,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392337,Barbara Cochrane,Tranent,-2.95417,55.9447,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393946,Katharine Govan,Wrae,-3.403954,55.58544,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393975,Janet Johnstone,Newbattle,-3.0775,55.8817,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394010,Janet Wallace,Dumfries,-3.616666666,55.06666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394011,Catharine Bowie,Quarrellwood,-3.641239,55.141016,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394014,Barbara Patersone,Outerstoun,-3.069805,55.802052,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394038,Agnes Meluill,St Andrews,-2.798888888,56.33888889,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394049,Margaret Tasker,Kirkliston,-3.4,55.95,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394064,Issobel Forbes,Lumphanan,-2.68667,57.1281,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394074,Helene Makkie,Aberdeen,-2.1,57.15,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394078,Janet Smyth,Burntisland,-3.233333333,56.05,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394080,Janet Allane,Burntisland,-3.233333333,56.05,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394089,Elspet Cant,Elgin,-3.315277777,57.64638889,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394114,Catherine Caray,Orkney Islands,-3,59,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394145,Jonet Forsyth,Westray,-3,59.3,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394160,Tibbie Smart,"Clova, Angus",-3.10485,56.8436,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394162,Margaret Nicol,Banff,-2.524,57.667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394182,Catherine Rowane,Culross,-3.6293,56.0554,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394197,Jonnet Smythe,Kinghorn,-3.17,56.07,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394205,Grissel Morris,Dunfermline,-3.461666666,56.07138889,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394235,Jonet Tulloch,Renfrew,-4.366666666,55.86666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394248,Marioun Gibson,Mid Calder,-3.481,55.8918,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394264,Rosina McCoskrie,Kirkcudbright,-4.051666666,54.83527778,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394268,Margaret Clerk,Kirkcudbright,-4.051666666,54.83527778,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394282,Margaret Brown,North Queensferry,-3.39444,56.0111,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394312,Bessie Cuper,Cupar,-3.01155,56.3194,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394340,Alesoun Pierson,Peacehill Farm,-2.9882,56.415,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394388,Margaret Dunholme,Stow,-2.8621,55.6918,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394448,Margaret Watson,Cannisbay,-3.131511,58.628511,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394514,Grissel Anderson,Torryburn,-3.55,56.05,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394522,Anna Wood,Bo'ness,-3.608911111,56.01681111,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394524,Elspeth Williamson,Torryburn,-3.55,56.05,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394550,Janet McKeoner,"Penninghame, Wigtownshire",-4.4853,54.9579,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394557,Kathrine Taylor,Stromness,-3.3,58.96,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394557,Kathrine Taylor,Stormness,-3.299,58.9607,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394564,Sarah Johnson,Perth,-3.431666666,56.39527778,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394593,Katherine Shaw,Kirkcaldy,-3.167369444,56.11073056,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394600,Jonnet Wilsoune,West Kilbride,-4.8576,55.6966,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394610,Jonet Grahame,West Kilbride,-4.8576,55.6966,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394621,Janot Loquhour,Pittenweem,-2.728611111,56.21305556,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394629,Beatrix Forgesoun,Pittenweem,-2.728611111,56.21305556,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394658,Jonet Wylie,"Largo, Fife",-2.941,56.214,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394661,Agnes Hutsone,Dunning,-3.58896,56.3118,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394696,Annabell Gottray,Irvine,-4.661111111,55.61944444,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394718,Janet Stark,Kirkcaldy,-3.167369444,56.11073056,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394720,Helen Birrell,Kirkcaldy,-3.167369444,56.11073056,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394737,Agnes Kinsman,Dunfermline,-3.461666666,56.07138889,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394759,Elspeth Shearer,Culross,-3.6293,56.0554,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394768,Margaret Holden,Culross,-3.6293,56.0554,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394772,Christian Smith,Dunfermline,-3.461666666,56.07138889,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394778,Isobell Bennet,Dalgety Bay,-3.36755,56.0429,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394830,Janet Reid,Clackmannan,-3.74652,56.1091,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394879,Helline Cuming,Stenton,-2.6,55.95,Female,NA,NA,NA,NA,NA,NA,NA
